amt1	num1	amt2	num2
10	10	20	12
10	6	25	11
10	3	40	3
25	14	75	11
5	0	15	14
1	0	5	5
15	4	25	6
12	1	25	1
1	7	10	18
5	0	15	1
1	2	10	3
1	1	5	0
10	2	25	5
15	8	27	20
30	20	30	10
1	3	20	7
5	9	10	16
5	26	10	90
1	8	20	20
1	0	5	0
3	0	8	0
2	2	5	4
1	7	10	17
5	4	10	4
20	22	100	8
5	5	10	7
1	8	25	6
10	8	20	10
10	3	20	7
11	18	26	21
11	5	17	5
5	0	10	6
10	31	25	28
10	5	20	95
50	4	100	3
1	3	10	26
1	1	5	3
1	0	15	1
1	0	10	1
1	0	5	2
1	0	10	6
5	3	25	1
5	2	15	9
5	3	10	4
5	4	15	5
5	41	100	10
10	36	25	14
10	4	50	3
5	5	15	2
1	1	7	3
100	18	250	5
1	4	10	5
1	2	11	5
5	2	15	15
5	5	10	19
1	0	10	3
100	5	200	0
1	2	5	10
10	6	25	8
10	14	25	13
1	0	25	4
1	4	5	16
10	13	25	24
3	6	10	24
5	4	50	6
10	17	20	11
10	7	15	4
10	4	25	2
10	12	25	12
25	28	50	7
5	1	7	0
5	10	25	22
5	1	10	1
3	4	10	19
20	9	50	3
5	2	10	4
20	7	50	11
15	10	40	11
10	5	35	5
5	4	20	4
10	8	25	10
5	0	10	4
20	3	50	5
1	2	1	22
15	3	15	12
5	6	20	4
1	0	10	9
1	0	5	74
5	8	20	18
1	0	10	2
10	2	35	7
5	0	10	2
1	2	5	4
5	1	15	4
5	1	10	1
1	2	5	4
5	3	10	7
10	12	20	8
5	8	10	11
20	35	50	34
10	8	20	30
10	4	20	6
25	13	100	15
25	1	50	3
25	22	25	19
1	17	25	33
5	1	10	1
20	73	100	20
1	4	15	6
5	35	50	13
10	11	20	15
10	10	100	5
5	2	10	4
5	2	10	4
5	5	10	2
10	7	25	21
1	6	5	5
1	4	5	3
10	4	25	14
10	12	25	14
1	61	20	55
5	18	10	13
10	10	15	19
1	2	8	8
1	0	5	4
1	0	10	8
1	2	10	4
5	38	10	66
10	7	25	11
5	1	25	11
1	57	20	48
1	3	5	11
5	0	10	1
10	2	40	0
10	12	20	35
50	3	100	2
5	14	10	8
20	7	30	45
1	9	12	36
3	23	25	34
5	0	10	2
10	26	25	14
25	5	50	5
5	1	25	15
5	9	10	9
5	11	15	14
5	2	10	6
20	1	25	5
1	0	7	4
10	1	25	2
1	0	5	6
5	3	25	13
13	7	22	4
5	3	12	4
4	2	8	0
1	10	5	35
2	2	10	2
1	5	5	44
15	3	20	1
5	11	25	35
5	1	20	7
5	2	20	0
10	2	25	11
5	12	25	38
10	101	25	23
1	8	5	46
1	1	5	4
10	11	20	13
3	6	10	1
10	3	20	13
5	5	10	7
25	31	100	7
1	0	5	0
1	30	5	18
5	4	10	2
11	8	25	14
10	29	50	17
5	6	25	6
1	0	5	13
2	1	5	2
5	6	20	12
1	6	10	1
10	21	20	9
100	14	250	2
5	5	10	3
1	1	10	11
2	4	5	5
1	4	5	2
1	0	3	2
1	2	5	3
1	0	10	8
5	3	10	5
10	8	20	9
10	7	25	5
1	0	2	0
10	3	25	3
1	1	10	6
1	71	5	41
15	4	25	14
5	6	15	5
10	22	50	8
5	0	10	4
10	1	25	1
22	9	44	10
5	2	25	1
5	0	10	3
10	9	25	6
25	193	50	30
5	3	20	6
1	1	5	0
3	3	7	1
1	1	12	3
25	18	40	5
10	17	16	3
1	0	10	4
5	1	15	5
10	10	25	23
5	4	25	30
5	4	15	15
5	21	50	11
10	160	20	62
5	1	10	6
1	0	1	0
1	12	25	7
1	0	5	12
1	1	10	1
10	1	50	4
10	21	40	17
25	27	75	20
1	8	5	5
45	7	225	0
1	1	20	7
1	6	12	13
20	8	40	6
50	6	150	4
2	0	5	0
10	7	25	9
5	5	10	13
5	13	15	10
1	4	10	0
5	1	30	1
2	13	10	35
5	4	10	12
20	10	30	8
1	12	20	13
5	0	15	3
1	5	10	53
1	1	12	38
10	12	20	10
5	1	25	16
15	1	30	1
5	5	18	9
10	31	15	3
6	3	12	5
15	3	35	9
2	3	12	1
1	3	12	12
15	82	50	59
10	12	20	38
5	1	10	4
5	2	20	6
50	8	100	3
5	2	10	19
1	2	12	5
5	6	20	34
2	2	3	3
20	3	45	2
1	2	50	2
1	4	5	1
2	7	30	16
250	2	500	0
10	11	100	11
5	5	25	4
25	3	50	3
15	4	25	15
1	1	10	12
1	1	10	5
5	3	35	8
5	3	10	13
5	1	10	5
1	0	20	2
10	4	25	23
5	0	10	6
1	4	15	2
2	2	5	4
3	3	10	9
1	14	5	30
10	117	50	923
1	1	10	6
10	11	20	27
20	8	100	23
15	0	21	6
1	3	20	1
10	7	65	2
5	2	10	17
1	5	25	23
5	6	20	91
5	10	20	31
10	3	50	0
10	0	50	0
10	5	50	10
5	4	20	16
100	8	500	0
5	2	10	12
100	11	200	4
1	2	4	2
5	3	10	11
1	2	10	16
1	1	5	0
5	9	25	7
1	2	1	1
1	0	5	4
5	31	10	15
1	2	5	4
10	3	25	17
10	4	15	1
5	1	10	9
1	4	5	11
10	21	20	9
5	5	10	3
5	8	10	1
3	13	15	5
5	5	15	16
2	4	10	4
2	0	7	9
5	88	25	204
1	0	5	2
5	3	10	39
15	4	30	37
1	1	5	1
5	5	10	7
1	2	5	8
5	28	10	82
8	0	10	2
1	1	7	2
5	9	25	2
5	0	25	14
1	0	10	15
5	4	10	6
10	36	25	203
10	2	25	47
1	18	10	8
10	6	15	1
1	4	5	3
5	10	5	1
1	0	5	5
5	4	10	10
1	0	5	1
1	1	3	0
1	0	4	1
1	25	55	209
20	6	35	3
1	2	10	3
25	24	40	12
1	1	10	3
1	1	5	5
5	2	10	55
1	10	10	20
1	0	3	0
10	23	18	4
1	0	10	32
10	16	20	36
2	58	15	199
20	46	40	24
1	2	5	28
1	2	5	0
1	5	15	11
1	2	4	0
5	2	15	10
5	3	10	20
1	4	5	2
1	0	12	11
5	2	10	6
10	16	25	37
1	5	10	41
1	0	10	4
10	2	30	88
5	2	15	0
5	5	20	5
7	14	15	3
5	11	5	1
10	8	30	2
1	4	10	7
1	1	3	6
1	2	5	37
1	1	3	1
2	1	5	0
2	0	8	1
5	3	8	3
10	29	30	9
5	3	12	5
25	66	40	14
1	3	5	1
3	0	6	3
5	9	20	172
3	4	5	5
1	12	2	4
1	5	5	1
20	5	50	3
10	22	25	19
5	21	10	65
1	1	5	5
5	12	8	1
1	0	3	0
5	2	10	4
1	1	5	14
5	13	15	32
20	3	50	6
1	0	10	6
1	0	5	5
5	11	15	21
1	0	5	4
15	53	22	12
5	20	25	8
10	35	25	27
1	0	10	4
20	113	29	125
10	19	20	15
5	5	8	14
1	0	5	0
5	0	10	11
10	2	50	9
200	1	400	2
4	1	5	1
1	0	5	1
1	1	5	2
1	5	5	0
10	22	25	16
10	0	20	96
5	4	15	4
5	2	5	0
1	1	5	3
9	2	16	22
5	1	10	6
1	0	5	1
1	5	5	5
5	1	10	18
1	4	5	70
5	11	15	30
1	1	5	10
10	4	10	4
5	7	10	4
10	12	40	4
1	1	5	1
10	14	25	6
1	2	5	8
1	3	5	3
10	29	25	35
10	18	25	25
5	26	15	61
1	26	10	26
1	1	5	8
1	0	5	4
5	0	10	2
10	14	20	27
10	8	20	20
10	3	10	6
1	0	5	0
10	30	25	24
3	9	20	42
1	14	15	18
1	4	5	11
1	5	5	51
5	72	30	152
1	1	5	6
1	3	22	87
8	15	20	32
1	0	5	15
1	2	10	2
5	0	10	0
15	7	30	7
1	13	5	8
10	4	50	3
1	4	50	7
1	8	25	13
1	6	25	19
1	2	20	22
10	4	25	2
5	1	15	1
3	1	10	10
10	1	25	11
5	1	25	3
10	4	35	8
20	50	25	62
5	11	25	18
1	13	10	25
5	6	25	16
5	3	10	6
1	2	10	0
25	5	50	5
5	0	10	3
1	12	25	29
10	119	25	133
25	17	50	2
1	1	10	4
1	6	10	12
1	3	26	10
3	1	7	1
10	7	20	10
8	5	10	6
5	1	10	0
25	4	250	0
1	2	21	4
1	0	5	4
5	2	15	4
25	15	50	6
5	3	10	21
1	0	10	10
1	13	50	12
50	4	150	2
15	21	20	1
10	5	25	8
10	10	25	8
1	7	5	9
5	8	10	22
10	5	25	0
5	1	10	0
5	2	20	12
5	2	15	4
10	4	25	2
15	50	20	30
1	0	5	8
25	19	50	15
5	0	10	2
10	4	25	5
10	6	25	4
5	8	25	16
1	6	10	15
20	12	45	5
15	3	25	1
5	0	15	2
1	2	5	3
20	6	25	1
15	1	25	2
10	1	25	1
10	7	25	5
10	10	25	6
20	12	100	6
1	5	20	16
35	48	100	17
15	54	35	5
10	20	50	5
5	1	10	11
1	14	20	33
10	0	25	14
10	1	25	5
25	25	50	15
5	6	25	4
10	8	25	31
20	25	50	24
5	4	10	3
20	10	50	9
1	17	5	32
10	3	20	3
10	2	20	8
5	0	10	1
50	8	100	2
1	5	11	11
10	5	20	5
1	2	5	4
1	6	50	4
10	3	25	4
1	4	25	18
1	1	2	0
15	6	25	7
5	5	15	2
10	39	50	19
1	1	10	4
1	1	10	5
1	0	5	1
15	43	50	13
5	2	12	9
25	2	50	6
1	4	15	3
10	7	25	6
1	0	25	4
1	4	50	3
10	25	20	7
5	30	25	26
1	2	5	4
25	9	50	5
10	7	25	10
5	3	10	2
1	11	45	5
5	1	10	3
10	2	20	5
1	8	10	48
1	4	10	9
10	3	25	6
40	4	50	4
50	8	200	3
20	7	100	1
15	3	25	7
5	2	25	15
5	4	25	14
5	2	20	8
25	11	50	13
1	6	11	5
5	2	10	5
1	0	5	8
1	2	30	6
5	2	10	3
10	4	25	7
5	9	25	16
10	7	20	11
10	16	25	12
5	4	20	7
1	4	20	12
5	7	10	11
10	25	25	52
5	4	25	6
10	10	25	17
10	2	20	11
1	0	5	0
5	2	10	3
5	2	20	3
10	9	20	12
5	4	10	10
5	0	10	4
5	36	35	9
15	9	25	14
5	2	30	4
10	4	50	4
1	0	45	7
5	23	25	31
1	18	45	4
1	2	5	1
3	1	9	6
10	957	25	510
1	3	10	8
5	54	15	17
10	28	19	10
1	3000	25	2623
1	0	5	3
25	79	30	163
5	8	30	12
1	2	20	49
7	7	27	35
15	1	25	1
10	10	25	6
1	0	10	5
5	4	25	12
10	1	15	1
20	9	75	3
1	7	10	14
25	10	65	7
1	58	100	7
10	18	15	367
5	3	10	26
5	6	25	12
5	48	20	745
5	24	25	2515
5	1	20	13
10	9	25	15
5	7	15	139
5	13	10	20
5	18	25	7
20	101	22	106
5	1	10	6
1	7	25	58
5	278	20	147
1	7	2	7
25	175	60	140
5	7	20	2
5	1	10	5
20	5	50	2
25	49	35	63
1	4	15	140
5	7	25	9
1	10	89	150
5	62	20	23
10	2	30	4
1	18	25	7
11	106	111	13
5	4	15	2
1	0	5	0
10	1	15	0
10	1	15	5
5	55	30	216
5	1	25	163
1	128	25	2432
5	6	25	2
1	4	5	28
10	0	20	10
20	22	50	16
10	5	15	4
5	11	10	7
1	0	7	4
1	0	15	14
1	2	5	3
10	4	25	1
10	4	20	4
5	59	25	44
10	12	25	12
35	37	35	7
5	0	10	3
5	2	15	5
1	3	7	4
5	13	15	11
5	0	15	3
1	0	10	8
5	40	20	4655
1	5	25	10
5	4	10	11
10	17	20	27
5	26	25	35
5	2	10	5
25	58	60	14
5	33	20	44
25	20	50	3
5	10	25	27
10	1	25	6
5	2	10	4
25	417	100	9
17	205	20	77
5	2	10	4
5	0	25	2
5	0	15	5
5	0	20	1
25	11	50	6
5	10	25	5
10	56	25	92
3	3	10	9
5	1	10	15
5	1	20	8
5	31	10	34
1	1	5	3
10	63	50	26
11	26	51	29
5	2	10	12
20	30	25	1011
5	6	15	16
1	3	5	4
10	37	25	47
25	178	40	50
1	0	10	3
1	1	20	50
5	7	10	36
2	1	5	3
15	44	30	58
10	9	25	2
10	147	25	126
10	5	20	12
5	5	10	8
10	15	25	9
5	6	20	61
5	4	12	6
1	0	5	1
10	5	20	1
5	1	15	3
10	1	15	7
50	6	100	4
10	7	25	20
10	12	20	41
5	13	15	22
10	12	20	30
10	1	30	4
1	5	10	8
6	3	10	10
1	6	10	18
1	0	12	7
1	0	5	9
1	3	20	14
1	19	10	38
5	2	10	1
10	10	25	18
1	14	12	44
25	24	50	5
25	7	125	2
1	1	10	7
5	3	20	18
1	6	14	29
5	0	25	34
1	1	5	4
25	55	50	13
10	8	25	40
1	1	15	0
1	0	10	4
10	3	25	3
5	8	15	2
1	1	5	0
1	5	20	38
1	2	15	8
25	542	45	127
10	3	15	1
1	0	5	3
1	4	5	2
5	2	10	17
1	8	25	7
5	0	20	0
15	5	30	1
5	6	10	6
10	1	25	4
1	1	5	1
10	16	25	26
25	8	50	13
10	0	25	4
10	3	25	29
15	5	25	7
10	21	50	6
25	9	50	3
25	6	50	5
10	8	25	8
5	2	10	10
1	5	10	3
5	3	10	6
1	0	10	5
3	5	8	4
1	6	10	18
1	0	5	5
10	0	15	0
1	1	10	0
15	6	25	12
6	3	10	57
22	1	22	2
20	4	40	1
20	29	50	7
10	26	28	12
1	1	10	0
1	3	10	5
5	2	10	6
5	3	25	6
10	10	10	3
10	8	30	7
10	11	20	19
10	18	25	26
5	0	10	1
1	1	10	2
5	1	25	39
8	1	15	6
5	0	15	3
1	1	5	3
1	1	5	7
5	1	12	3
1	8	50	38
5	5	25	10
1	0	5	0
1	0	5	2
10	5	15	4
10	14	50	8
10	2	25	5
5	10	25	58
1	4	50	2
1	5	25	8
1	0	10	3
5	0	10	1
10	51	25	83
10	8	20	18
10	30	40	7
5	8	25	6
5	0	15	3
1	4	25	9
1	12	100	9
10	11	25	22
1	2	5	9
10	13	25	10
25	80	50	11
1	1	10	5
12	4	20	10
5	4	30	6
1	2	10	2
1	9	5	6
5	1	15	0
1	4	5	5
10	3	20	6
10	11	25	18
1	1	5	0
5	1	10	4
10	38	25	49
5	3	10	5
1	1	5	7
5	13	10	8
25	9	50	6
1	2	10	8
1	0	5	0
1	0	5	5
5	2	20	5
10	9	25	25
10	7	25	20
5	1	15	1
5	1	20	1
1	0	20	1
5	11	15	21
1	2	10	9
1	0	10	1
25	7	50	3
20	14	50	7
2	2	10	16
1	6	10	14
3	1	10	7
20	2	50	2
1	0	5	3
1	1	10	14
10	4	25	10
5	4	20	11
1	1	5	0
1	5	35	25
10	11	25	11
1	1	10	2
1	4	10	11
1	7	15	17
1	2	5	9
5	2	10	12
10	5	30	6
15	0	20	15
1	15	5	2
10	1	20	3
1	3	15	13
5	31	25	38
1	28	25	51
5	1	15	5
5	4	15	4
1	2	20	2
20	9	50	2
5	7	10	25
1	0	5	2
5	1	25	9
10	10	50	2
1	1	5	1
10	24	25	70
1	2	5	3
10	5	25	9
10	7	25	35
1	5	10	5
25	6	50	5
1	1	5	7
1	2	10	7
15	78	25	160
1	0	10	1
25	5	500	1
10	12	20	25
5	4	10	15
2	5	5	14
1	3	13	18
10	1	25	0
1	1	10	4
10	4	25	1
3	4	33	14
10	6	25	4
10	67	20	150
6	11	12	15
5	7	25	8
25	19	50	13
1	1	10	4
1	1	5	1
1	0	10	10
1	2	5	7
10	5	25	22
20	3	40	4
15	64	50	31
1	0	10	1
10	8	25	7
10	6	25	10
1	2	10	14
10	11	20	9
10	10	25	4
1	7	25	26
10	15	25	65
1	1	10	2
1	3	5	4
10	2	25	3
2	1	5	10
10	1	15	2
1	3	10	1
1	2	10	9
2	0	10	9
1	1	10	0
5	0	10	1
1	1	5	1
50	0	250	2
1	63	25	129
1	2	5	2
1	6	10	9
10	8	20	16
1	4	5	8
1	2	5	2
1	1	10	2
1	1	5	5
5	11	10	22
10	2	25	16
1	2	25	17
20	10	100	0
1	0	5	1
5	0	10	2
25	123	100	16
1	1	10	3
10	2	25	8
15	5	25	2
1	2	10	12
1	0	5	4
1	0	5	1
10	6	25	7
25	13	50	7
1	10	51	3
15	8	25	19
1	5	25	8
5	30	25	40
3	3	7	1
10	1	25	4
10	17	30	29
1	13	5	15
15	2	25	1
5	0	10	1
5	7	25	10
1	1	5	6
5	21	50	35
5	3	10	10
10	2	25	0
10	14	25	43
1	3	5	2
1	5	50	1
1	187	5	154
5	1	10	7
10	1	15	3
5	19	25	28
5	4	10	6
1	3	5	13
1	0	5	2
5	17	25	22
6	2	12	1
10	11	12	3
1	4	10	1
10	1	25	3
20	7	50	2
10	3	25	20
1	8	20	25
5	3	10	8
7	8	10	7
50	8	100	3
10	1	25	5
1	1	5	4
5	3	10	3
10	1	25	3
5	2	15	8
1	1	5	0
1	3	10	13
1	0	10	2
1	3	10	3
1	1	5	5
1	0	10	5
5	6	15	14
5	4	10	4
1	0	5	0
1	2	5	1
5	8	10	5
1	2	5	10
20	7	30	5
10	6	25	6
5	1	10	4
10	2	25	13
10	25	25	38
10	12	25	11
5	5	10	16
25	11	75	5
1	5	20	24
5	5	20	14
5	1	10	6
25	22	25	3
5	0	15	5
1	4	10	18
10	3	25	10
25	14	50	25
25	8	50	9
10	6	25	6
10	1	25	7
10	6	25	5
20	3	50	3
1	6	25	21
5	2	15	6
1	0	10	1
1	25	10	48
10	2	20	6
2	0	5	0
1	2	10	5
10	3	15	3
5	0	10	0
5	1	10	4
1	1	5	0
1	2	10	27
25	14	50	3
10	7	25	8
30	5	45	0
10	8	25	13
5	2	15	5
5	2	15	0
14	99	25	724
1	582	15	275
1	1	5	2
1	3	10	3
100	22	150	8
10	11	25	11
1	0	10	6
25	23	100	5
1	8	15	5
1	0	10	2
1	1	25	0
25	5	50	5
25	16	50	4
10	3	25	5
10	7	25	8
1	6	25	7
1	2	5	1
5	9	20	8
1	0	5	17
1	1	5	1
10	39	20	52
10	0	30	3
10	5	25	9
5	7	30	8
1	2	5	2
1	3	5	2
10	11	25	12
1	23	25	12
10	3	25	12
10	764	35	211
1	0	10	9
1	36	100	32
10	8	25	12
5	12	10	76
1	4	10	6
1	2	10	4
1	0	5	2
25	49	100	16
10	7	50	9
20	5	50	9
1	0	5	8
1	22	10	16
1	36	25	33
18	37	26	25
1	0	5	0
5	0	10	15
10	2	25	6
10	2	25	7
5	4	10	10
15	2	25	13
1	1	10	2
1	0	10	6
5	0	10	7
1	6	2	9
5	4	20	33
15	4	20	8
15	23	25	16
25	6	50	8
1	2	5	1
10	30	25	83
25	1	50	0
10	11	25	11
1	0	10	8
5	16	12	8
5	3	25	14
20	5	50	4
1	3	25	15
5	14	40	4
1	4	10	13
5	2	20	4
1	2	5	3
25	1	50	2
10	5	25	40
5	0	10	3
3	2	5	0
1	2	5	0
1	2	10	8
10	15	25	12
10	14	25	22
5	0	10	6
15	23	25	19
15	0	25	1
5	2	10	1
10	7	24	7
10	90	35	230
1	10	5	12
1	3	5	4
5	0	15	8
25	6	60	12
10	0	20	4
5	3	10	3
1	8	25	5
10	57	25	52
1	0	5	24
5	11	30	30
10	6	20	10
1	1	25	31
1	2	10	10
10	8	25	18
10	6	25	23
5	2	10	1
10	2	25	3
1	0	10	13
10	326	25	350
5	126	15	87
10	4	25	12
1	1	5	2
1	2	5	2
10	8	25	34
5	3	20	201
1	0	10	5
10	7	25	11
1	0	10	1
10	10	25	22
1	2	5	2
25	4	50	0
1	3	5	3
25	64	50	12
50	4	100	3
1	1	10	0
1	0	10	4
1	2	10	7
1	0	5	0
1	7	5	31
5	6	10	11
10	7	50	14
10	2	25	17
1	12	15	46
1	4	5	2
5	6	10	19
5	2	10	0
1	4	5	15
10	19	25	38
1	4	10	7
25	4	75	0
10	3	25	4
5	2	20	19
5	4	10	5
10	2	25	2
5	1	10	2
1	0	5	0
10	10	25	13
1	2	5	2
1	3	20	12
1	2	5	7
1	1	5	1
1	1	5	3
10	7	15	2
10	6	20	18
5	2	15	5
25	2	50	0
10	18	25	21
25	6	75	1
7	43	17	10
5	3	10	7
11	5	26	3
25	8	50	23
5	4	10	0
10	6	25	19
5	9	25	6
2	3	5	7
1	7	5	39
5	5	10	22
20	4	20	3
1	5	10	12
5	3	20	3
10	2	20	22
1	0	10	5
1	1	12	0
5	0	10	0
10	48	25	19
10	13	25	24
1	3	10	2
1	0	5	3
10	11	25	34
5	17	30	55
10	10	25	47
1	0	5	0
5	0	15	3
10	2	25	3
1	1	10	1
10	0	25	9
10	12	25	31
15	5	25	1
1	1	15	6
10	5	25	5
1	3	31	5
5	0	10	3
25	19	50	4
20	1	40	2
10	13	25	65
5	2	10	3
1	10	25	12
3	1	5	4
1	5	10	17
10	6	25	5
1	1	5	4
30	30	100	43
10	6	50	9
5	7	15	8
3	6	9	8
5	5	10	8
1	0	5	1
1	4	15	3
1	13	35	8
1	0	15	1
5	6	25	16
10	9	25	12
50	6	100	5
1	1	1	9
5	19	25	24
20	10	50	10
25	5	50	4
10	10	25	12
1	5	1	0
5	2	20	29
30	30	60	5
20	3	50	9
10	7	25	11
5	0	25	1
10	3	25	4
10	2	25	8
10	22	25	15
5	3	15	3
1	11	10	11
25	20	50	28
2	16	25	50
5	20	20	96
1	3	10	9
5	0	20	0
1	4	10	17
5	58	10	40
10	1	25	6
10	6	20	5
25	119	50	51
1	2	10	15
5	5	20	13
10	16	18	26
1	0	5	0
8	22	10	19
10	6	25	21
10	3	30	10
20	9	50	2
1	9	5	4
20	14	30	4
5	1	10	1
5	23	40	2
10	2	25	3
25	11	100	10
10	7	25	4
1	18	50	17
5	3	10	6
10	19	25	40
1	4	25	13
5	7	20	5
5	4	10	5
1	5	10	29
1	1	5	2
1	2	5	1
1	1	10	7
20	2	40	2
10	9	25	34
5	3	15	11
5	7	10	17
1	2	5	13
25	4	50	2
1	3	3	4
5	3	10	10
5	8	25	40
1	10	15	8
1	1	5	3
10	22	20	14
50	8	100	13
1	0	10	1
10	7	25	6
10	1	25	3
25	3	50	3
10	2	20	8
25	5	75	5
10	6	12	2
10	13	25	59
5	159	30	203
10	14	25	10
25	8	50	22
1	0	5	0
10	16	15	7
10	0	25	2
1	22	25	32
20	6	100	11
1	5	20	29
1	2	5	6
1	5	10	3
5	2	10	12
5	0	10	2
10	12	20	1
5	1	10	2
5	24	15	13
10	12	25	10
1	3	5	4
5	2	20	38
1	4	20	9
20	7	30	1
1	1	5	0
5	69	10	63
10	5	20	14
1	0	10	2
1	6	15	25
10	12	30	2
20	3	100	5
5	3	25	3
10	14	25	10
1	1	5	7
10	16	25	39
1	6	25	6
10	5	25	8
1	23	10	29
1	9	25	20
1	4	5	0
10	40	25	48
10	7	30	28
5	0	15	6
5	3	15	16
10	5	25	10
1	0	5	0
1	2	25	6
25	7	50	10
1	0	10	9
1	3	10	6
25	0	50	5
10	9	25	26
1	1	5	12
1	4	5	1
5	0	10	5
1	2	5	10
5	3	10	23
10	6	15	6
2	5	5	5
5	1	10	4
25	11	50	6
5	1	10	8
10	6	20	3
1	12	30	18
10	7	25	9
5	5	15	5
5	4	10	12
5	3	15	0
1	4	5	8
5	2	20	3
10	157	25	156
20	29	50	7
20	1	50	0
10	1	20	1
5	1	10	0
25	21	50	3
25	13	50	5
10	38	20	74
1	2	5	6
1	54	25	68
10	13	25	20
25	6	50	40
1	4	10	7
10	23	25	68
20	0	40	1
