name	link	author	description	location	pct_funded	amt_pledged	units_left	unit
William. A new Shakespeare journal online.	http://www.kickstarter.com/projects/1557939494/william-a-new-shakespeare-journal-online?ref=ending_soon	Jeremy Fiebig	William. A new journal for a new era. Where the wide world of Shakespeare meets the World Wide Web. Contribute. Collaborate. Connect.	Fayetteville, NC	10	371	2	hour
Evenings in Quarantine: The Zombie Opera - Spring 2011	http://www.kickstarter.com/projects/thezombieopera/evenings-in-quarantine-the-zombier-opera-spring-20?ref=ending_soon	The Zombie Opera	By popular demand, Evenings in Quarantine: The Zombie Opera is preparing for a special spring run of the show at a much larger venue.	Pittsburgh, PA	119	2985	2	hour
The Geography of Youth	http://www.kickstarter.com/projects/1406442713/the-geography-of-youth?ref=ending_soon	Morrigan McCarthy & Alan Winslow	Two photographers will ride bicycles 30,000 miles, through 50+ countries to document the geography of youth.	Fairbanks, AK	103	16539	2	hour
Exit Show 2011, a Culmination of Work	http://www.kickstarter.com/projects/758729173/exit-show-2011-a-culmination-of-work?ref=ending_soon	OCAC Seniors	As the graduating class of 2011 at the Oregon College of Art and Craft, we have taken the initiative fund two exhibitions of our work!	Portland, OR	189	4742	2	hour
"We Are All Without Merit" Tour	http://www.kickstarter.com/projects/myeyesfallvictim/we-are-all-without-merit-tour?ref=ending_soon	My Eyes Fall Victim	HELP My Eyes Fall Victim pay for their summer tour! Recording has emptied their pockets. Help them come play for YOU!	Newton, NJ	19	392	2	hour
Fashion meets fantasy in 21 days. Handmade at it's finest!	http://www.kickstarter.com/projects/hauttotes/when-fashion-meets-fantasy?ref=ending_soon	Melissa Lewis ( Haut Totes )	My newest handbag design. Handmade with exclusive fabric featuring licensed artwork by several great artists & my custom fob.	Dayton, NV	734	7345	3	hour
Double Masterpiece: A Nerdy & Dirty Comedy Hip Hop Album	http://www.kickstarter.com/projects/leroyrap/double-masterpiece-a-nerdy-and-dirty-comedy-hip-ho?ref=ending_soon	Le Roy (Rap)	Five+ years in the making, our full length album is ready to record and we are looking for investors - also how about this time share?	Chicago, IL	137	2062	3	hour
A Night In	http://www.kickstarter.com/projects/1016560690/a-night-in?ref=ending_soon	Gabe Romero	Some people just shouldn't watch scary movies.	Los Angeles, CA	104	1560	5	hour
HAVEN	http://www.kickstarter.com/projects/s4prods/haven?ref=ending_soon	S4 Productions	Earth stands desolate - nature has reclaimed where once man stood - savages roam the wastelands - he is their only hope...	Hingham, MA	20	1046	9	hour
A Perfect Union	http://www.kickstarter.com/projects/1930191966/a-perfect-union?ref=ending_soon	Los Tall Boys Media	For nearly 300 years, the walls of the Alamo have guarded a secret of extraordinary power... Until now.	Corpus Christi, TX	95	3060	14	hour
Living Room	http://www.kickstarter.com/projects/dougalanwilcox/the-new-doug-alan-wilcox-cd-3-9?ref=ending_soon	Doug Alan Wilcox	Hey folks - you too can be a part of the new CD project - please help!	Hagerstown, MD	53	1065	14	hour
"WESTERN PLEASURE" an Installation	http://www.kickstarter.com/projects/2134252432/western-pleasure-an-installation?ref=ending_soon	Amanda Sullivan	"WESTERN PLEASURE" will be a spectacular art installation for the exit show of 2011 Pratt Institute MFA Candidate, Amanda Sullivan.	Brooklyn, NY	53	2690	14	hour
Send "Story Time Fables" to Film Festivals	http://www.kickstarter.com/projects/murphyspeakingfilms/send-story-time-fables-to-film-festivals?ref=ending_soon	Brendan Murphy	Story Time Fables is a short film focusing on how fantasy is affected by reality. Send Story Time Fables to festivals!	Tucson, AZ	101	405	14	hour
The Baku Graphic Novel Horror Western Awesomeness!	http://www.kickstarter.com/projects/mikefederali/the-baku-graphic-novel-horror-western-awesomeness?ref=ending_soon	Mike Federali	The Baku is a graphic novel written by Mike Federali with art by Drew Moss. A Horror Western in 1890s California. An unbelievable tale.	Virginia Beach, VA	317	3974	16	hour
Erased from the Landscape	http://www.kickstarter.com/projects/959617801/erased-from-the-landscape?ref=ending_soon	Abbie Reese	“Erased from the Landscape,” a multimedia exhibition, will tell the stories of cloistered monastic nuns via words, sounds and images.	Chicago Metropolitan Area, IL	101	9790	16	hour
STILL	http://www.kickstarter.com/projects/782394860/still?ref=ending_soon	Etta Lilienthal & Ben Zamora	STILL is an installation of Light, Sound & Space that follows the course of the life cycle: Birth, Life, Death.	Seattle, WA	102	1025	16	hour
Drawing America by Bike Part 2: ReGear & Ride East	http://www.kickstarter.com/projects/iamericanartist/drawing-america-by-bike-part-2-regear-and-ride-eas?ref=ending_soon	Eric Clausen	Artist Eric C has been biking across America documenting his adventures and observations through drawings and stories.	Brooklyn, NY	124	3728	17	hour
"Rape For Profit"- A Film on Sex Trafficking in Seattle, WA	http://www.kickstarter.com/projects/675974046/rape-for-profit-a-film-on-sex-trafficking-in-seatt?ref=ending_soon	"RAPE FOR PROFIT"	We are a group of guys fighting to help set the oppressed free. Seattle is # 3 in the nation for child sex trafficking! Help us fight!!	Seattle, WA	108	16255	17	hour
"Come On Down! The Road to 'The Price Is Right'" doc film	http://www.kickstarter.com/projects/redhotchicago/come-on-down-the-road-to-the-price-is-right-doc-fi?ref=ending_soon	Caryn Capotosto & Jeruschka White	This film is a pop culture love letter to America's favorite game show & the quirky characters who have been called to "come on down!"	Los Angeles, CA	12	3178	17	hour
11 24: A Short Film About Collecting Cans and Memories	http://www.kickstarter.com/projects/michelegutz/11-24-a-short-film-about-collecting-cans-and-memor?ref=ending_soon	Michele Gutierrez	11 24: a short film about love, devotion and discovering that true wealth cost nothing but time and memory to collect.	Long Beach, CA	126	1900	17	hour
SHE'S AMANDA - A Short Film by 18% Productions	http://www.kickstarter.com/projects/shesamanda/shes-amanda-a-short-film-by-18-productions?ref=ending_soon	Dimitri Kouri	Sam Loves Amanda, Amanda Loves Sam...but Sam doesn't know that Amanda is a man.	Boston, MA	10	321	18	hour
DIRTY LAUNDRY ~ Feature Film	http://www.kickstarter.com/projects/392996670/dirty-laundry-0?ref=ending_soon	Sabra Young	Is Alice Hoffman living a secret life? A steamy suspense thrilller that leads to a tangled web of sensuality, deception and reality.	Dallas, TX	21	1720	18	hour
timelapse farm: a source code for food	http://www.kickstarter.com/projects/1464315496/timelapse-farm-a-source-code-for-food?ref=ending_soon	danpaluska	To connect us with our food, we will timelapse a couple small farms for six months and post the videos online in the public domain.	Concord, MA	105	1579	18	hour
Machine Shop live: amplified gong experience on tour	http://www.kickstarter.com/projects/435833411/machine-shop-live-amplified-gong-experience-goes-o?ref=ending_soon	drew	Gongs like you've never seen or heard them before. Help us create our psychedelic, amplified, multimedia live gong concert.	Berkeley, CA	86	1475	20	hour
Diagram for Delinquents	http://www.kickstarter.com/projects/sequart/diagram-for-delinquents?ref=ending_soon	Sequart Research & Literacy Organization	A documentary film about Fredric Wertham’s crusade against comics, which helped spur burnings of comics and Congressional hearings.	New York, NY	145	8746	20	hour
Spoke N Spoon	http://www.kickstarter.com/projects/spokenspoon/spoke-n-spoon?ref=ending_soon	Alyssa Ackerman	Eco-friendly, local, local delivered to your desk.	Ann Arbor, MI	114	571	21	hour
Pacific Crest Trail Documentary	http://www.kickstarter.com/projects/1667925646/pacific-crest-trail-documentary?ref=ending_soon	The Dusty Camel	In May we will head west to film the 2,660-mile Pacific Crest Trail in order to raise awareness for the preservation of wild spaces	Campo, CA	71	3215	21	hour
Lisa Marie Evans' Artist Residency in Budapest	http://www.kickstarter.com/projects/lisamarieart/lisa-marie-evans-artist-residency-in-budapest?ref=ending_soon	Lisa Marie Evans	I am raising funds to attend an Artist Residency in Budapest for July! I will create an animation video with the Hungarian community.	Budapest, Hungary	109	1385	22	hour
Put a bet on Tête-à-Tête:The Better Halves at their best yet	http://www.kickstarter.com/projects/664499359/put-a-bet-on-tete-a-tete-the-better-halves-at-thei?ref=ending_soon	Chrissie Natoli	"Album of duets"--The Better Halves are ready to du-et! "Tête-à-Tête" will be full of clever lyrics, harmonies, and fancy playing.	Austin, TX	103	3106	22	hour
Artspace Everett Lofts' Fountain	http://www.kickstarter.com/projects/962669902/artspace-everett-lofts-fountain?ref=ending_soon	Liam Cole	Make the Cement Pond into a work of art that delights the eye - Artspace Everett Lofts needs a Fountain !	Everett, WA	78	235	23	hour
Lucky Enough	http://www.kickstarter.com/projects/illthinking/lucky-enough?ref=ending_soon	Eric Cannon	Documenting the life of an Irish child athlete imminently breaking into the professional circuit and his trials along the way.	Las Vegas, NV	24	5765	24	hour
"SILENCE" Feature Film Project	http://www.kickstarter.com/projects/toddebraley/silence-feature-film-project?ref=ending_soon	Todd E. Braley	"SILENCE" is the story about a 24 year old woman who is brutally raped and must try and rebuild her her life.	Boise, ID	15	1570	25	hour
The Worship Project with Andrea Thomas	http://www.kickstarter.com/projects/1623987054/the-worship-project-with-andrea-thomas?ref=ending_soon	Andrea Thomas	Partner with Andrea on her new worship project!	Nashville, TN	25	1530	25	hour
Flying Lessons - Two sisters' exciting afternoon adventure	http://www.kickstarter.com/projects/928185713/flying-lessons-two-sisters-exciting-afternoon-adve?ref=ending_soon	Kayin	Two sisters know just where to go when they want to learn how to fly: Great-grandma's! Help share this imaginative story with others.	Portland, OR	40	1635	26	hour
Infinite Harmony - iH, The Grassroots Project	http://www.kickstarter.com/projects/infiniteharmony/infinite-harmony-ih-the-grassroots-project?ref=ending_soon	Infinite Harmony	Due to popular demand...we're making our first CD! We need your help to do it, and we've got all sorts of awesome perks if you help us!	Atlanta, GA	108	3240	26	hour
500 lbs. of Sugar for Sculpture	http://www.kickstarter.com/projects/msarmsdesign/500-lbs-of-sugar-for-sculpture?ref=ending_soon	Melissa S. Armstrong	I am gathering 500 lbs. of sugar for a series of beautiful and grotesque body modification sculptures made of sugar and candy.	Amherst, VA	149	1118	26	hour
The Wolf and the Ewe - A Romanian Folktale	http://www.kickstarter.com/projects/1778552218/the-wolf-and-the-ewe-a-romanian-folktale?ref=ending_soon	Jordan Augustine	"The Wolf and the Ewe" is a tale of a young shepherd's daughter who seeks out a creature of Romanian folklore to recover her lost lamb.	Provo, UT	122	2455	26	hour
Bulletproof	http://www.kickstarter.com/projects/1916600115/bulletproof?ref=ending_soon	Ty Hunt	A music video showcasing the dance musicality of Ryan Brady.	Orlando, FL	101	1520	26	hour
Bound: a counterpoint between freedom and imprisonment	http://www.kickstarter.com/projects/435018080/bound-a-counterpoint-between-freedom-and-imprisonm?ref=ending_soon	Katie Schetlick	What does it mean for human movement to be bound? A dance company creates a piece with their director in Palestine via Skype	New York, NY	109	1638	26	hour
Awesome Kids Need You!!	http://www.kickstarter.com/projects/chocolatestarmusic/awesome-kids-need-you?ref=ending_soon	Chocolatestar Music	The students @ Clara Oliver School (Dallas, Texas) desire to put on a first class production of Annie...all they lack is the funding.	Dallas, TX	171	855	27	hour
THE WOLFMAN'S HAMMER	http://www.kickstarter.com/projects/144606249/the-wolfmans-hammer?ref=ending_soon	Brad	THE WOLFMAN'S HAMMER is a gritty, brutal little character drama about a Heavy-Metal obsessed meth dealer and his little cousin.	Bend, OR	101	5086	27	hour
D & M - "Every State of The Union Tour" Project	http://www.kickstarter.com/projects/699826975/d-and-m-every-state-of-the-union-tour-project?ref=ending_soon	D & M	Help us make the D & M - "Every State of the Union (or at least the 13 original colonies) Tour" a possibility this summer! We need YOU	Philadelphia, PA	110	1100	29	hour
Music Video For "Altruism (We Can Change The World)"	http://www.kickstarter.com/projects/dakotalillie/music-video-for-altruism-we-can-change-the-world?ref=ending_soon	Dakota Lillie	Pop/Alternative/Classical/Electronic artist Dakota Lillie is making a music video for the opening track on his album "The Dream"	Los Angeles, CA	87	1740	29	hour
Wahpepah Connection: a book project through Indian Country	http://www.kickstarter.com/projects/sarabek/wahpepah-connection-a-book-project-through-indian?ref=ending_soon	Sarah Cross	For my high school senior project, I will be writing a book about my journey driving my 80 yr-old Kickapoo father back to his homeland.	Shawnee, OK	107	4301	29	hour
Jack & Jill [Short Film]	http://www.kickstarter.com/projects/2118905514/jack-and-jill-short-film?ref=ending_soon	Matthew McCulley	The Story of Jack meets Jill and the tumble after.	Portland, OR	70	2323	29	hour
You Don't have to Believe it, to SEE it!	http://www.kickstarter.com/projects/580146263/you-dont-have-to-believe-it-to-see-it?ref=ending_soon	Drew McAuliffe	Together with Light through Art-- By People. Art Installation with Focus on Light, Shadows, and LED's. Fun way to weave community.	Portland, OR	30	1515	31	hour
Metuchen's Mystical Magical Junebug ArtFest	http://www.kickstarter.com/projects/619544066/metuchens-mystical-magical-junebug-artfest?ref=ending_soon	The Junebug Team!	Metuchen's Mystical Magical Junebug ArtFest is an annual event created by artists for artists...and those passionate about the arts!	Metuchen, NJ	104	2615	34	hour
The Wi.U Charger: Smart Charger for iPhones	http://www.kickstarter.com/projects/wiu/wiu-why-you-charger-wireless-smart-charger-for-iph?ref=ending_soon	Cameron Burley	Built with precision, intelligence and creativity, the Wi.U is the world's only smart charger.	New York, NY	18	3650	36	hour
Fireman	http://www.kickstarter.com/projects/1809800890/fireman?ref=ending_soon	Robert Agnello	Dedicated to Joey Agnello who died in 9/11 saving other A young firefighter hosts the spirit of a viking warrior in his body.	Maplewood, NJ	100	5033	37	hour
3 Tshirts, One College Artist, One Great Artistic Outlet	http://www.kickstarter.com/projects/rethinkclothing/3-tshirts-one-college-artist-one-great-artistic-ou?ref=ending_soon	Rethink_Andy	Bring the experiences of a college artist to a wearable medium, Tshirts! These pieces represent a unique lifestyle and need to be worn.	Madison, WI	15	390	38	hour
SEED	http://www.kickstarter.com/projects/653079247/seed?ref=ending_soon	SEED	SEED is an innovative building system designed for developing cities that is affordable, scalable, dignified and self-sustaining.	Dar Es Salaam, Tanzania	120	4811	38	hour
Firefly Tunnels' Pittsburgh Dig	http://www.kickstarter.com/projects/1814152748/firefly-tunnels-pittsburgh-dig?ref=ending_soon	Corey A. Sattler	Firefly Tunnels are metaphorical passageways for the exchange of ideas through performance art.	Pittsburgh, PA	13	1315	38	hour
A Hawk in the Rain	http://www.kickstarter.com/projects/676305372/a-hawk-in-the-rain?ref=ending_soon	Cassis Birgit Staudt	A Hawk in the Rain is a collaborative project between Lantern Music and Cassis.	Birmingham, United Kingdom	37	882	38	hour
Cover This Book!	http://www.kickstarter.com/projects/nobilis/commission-a-kick-ass-cover-for-riskwear?ref=ending_soon	Nobilis Reed	I just finished Riskwear, a sci-fi romance spiced with exhibitionism, fashion, and engineers. A great story deserves a great cover.	Manassas, VA	115	578	39	hour
Reed Pittman's new album "Ferris Wheel!"	http://www.kickstarter.com/projects/reedpittman/reed-pittmans-new-album-ferris-wheel?ref=ending_soon	Reed Pittman	Hello folks. This is my new project "Ferris Wheel," a collection of new songs for your listening pleasure. Hope you can take part!	Nashville, TN	57	2880	39	hour
23 Feet: Simple Living for Outdoor Passions	http://www.kickstarter.com/projects/411406798/23-feet-simple-living-for-outdoor-passions?ref=ending_soon	Allie Bombach	23 Feet is film about a community of people who make the conscious decision to live simply to do what they love in the great outdoors.	Portland, OR	204	9185	39	hour
Generation of Vipers Mastering Session	http://www.kickstarter.com/projects/1205056039/generation-of-vipers-mastering-session?ref=ending_soon	Generation of Vipers	Generation of Vipers need your help to finish their third full length studio album titled "Howl and Filth"	Knoxville, TN	85	427	40	hour
Pageant the Musical	http://www.kickstarter.com/projects/980233999/pageant-the-musical?ref=ending_soon	eXposed Theatre Company	One of the rowdiest farces ever staged, Pageant pits six beauty "queens" against each other in the Glamouresse annual extravaganza.	Philadelphia, PA	83	415	41	hour
Jigsaw	http://www.kickstarter.com/projects/1201183302/jigsaw?ref=ending_soon	Drew Court Productions	JIGSAW is the story of lonely widow Mona Hampton and gay hairdresser Tony DiAngelo using jigsaw puzzles to guide them to their future.	Las Vegas, NV	107	10756	42	hour
Fake Hands Ep!	http://www.kickstarter.com/projects/fakehands/fake-hands-ep?ref=ending_soon	Fake Hands	Fake Hands would like to press their album in neat packaging in a desperate attempt to look professional, but, we need your assistance!	Cincinnati, OH	19	190	42	hour
Eleven Fifty Seven Album & Video	http://www.kickstarter.com/projects/elevenfiftyseven/eleven-fifty-seven-album-and-video?ref=ending_soon	Jerad Shepherd	"evoLve: Steel Rising" will be our tool for making a positive change in our communities and the world through humanitarian efforts.	Phoenix, AZ	53	1066	43	hour
Chase: a Northwestern University Studio 22 Film	http://www.kickstarter.com/projects/145139760/chase-a-northwestern-university-studio-22-film?ref=ending_soon	The Crew	"Chase" explores the themes of friendship, loss and memory by following two best friends through two storylines of bittersweet memories	Chicago, IL	185	1390	43	hour
Max Johnson is Recording an Album!	http://www.kickstarter.com/projects/588957667/max-johnson-is-recording-an-album?ref=ending_soon	Max Johnson	I am recording an album and need your help! So please contribute and help "good" music stay alive!	Bloomfield, NJ	128	2060	43	hour
Ruby James - New Album "Live From Sun Studios"	http://www.kickstarter.com/projects/rubyjames/ruby-james-new-album-live-from-sun-studios?ref=ending_soon	RuJames	Hi! I'm RUBY. I'm trying to raise money to record my first LIVE ALBUM at the Legendary SUN STUDIOS! Please help me get to MEMPHIS!	Austin, TX	70	7065	45	hour
JUST - Student Film	http://www.kickstarter.com/projects/1423607588/just-student-film?ref=ending_soon	Casara Clark	A moralistic story told via sci-fi/thriller. Is there justification for suffering? In this life or the next?	Evanston, IL	87	1305	45	hour
Kingdom County's full length album	http://www.kickstarter.com/projects/386632958/kingdom-countys-full-length-album?ref=ending_soon	Kingdom County	Our northwest indie-mericana songs are recorded; we need the funds to mix, master locally (Eugene and Portland) and share our music!	Eugene, OR	95	1668	45	hour
The Versions Project: exploring mashup culture	http://www.kickstarter.com/projects/1822563765/the-versions-project-exploring-mashup-culture?ref=ending_soon	francescalyn	Part art project, part journalism, & part scholarly work - The Versions Project - a book as mashed up as the culture that inspired it.	Gainesville, FL	15	837	46	hour
POP INC- BOULEVARD of BROKEN DREAMS- HOLLYWOOD PROJECT	http://www.kickstarter.com/projects/popinc/pop-inc-boulevard-of-broken-dreams-hollywood-proje?ref=ending_soon	POP INC	POP INC appeal for support to shoot a short form film/video for 'BOULEVARD of BROKEN DREAMS' on location in Hollywood!	Minneapolis, MN	56	1880	47	hour
Danaus - A Polymorphic Installation	http://www.kickstarter.com/projects/878394321/danaus-a-polymorphic-installation?ref=ending_soon	sam levin	Danaus is an installation by Tulane students that challenges the boundary between form and function through multiple transformations.	New Orleans, LA	141	1416	47	hour
Elixir	http://www.kickstarter.com/projects/562858321/elixir-0?ref=ending_soon	Addison Smith	As a deadline quickly approaches, a scientist obsessively works on creating a potion unlike any the world has ever seen before.	Santa Barbara, CA	103	1660	47	hour
"Now That She's Gone" to Edinburgh!	http://www.kickstarter.com/projects/ntsgedinburgh/now-that-shes-gone-to-edinburgh?ref=ending_soon	Ellen Snortland	Now That She's Gone is a comic human rights love letter to a mother whose only common ground with her daughter was Eleanor Roosevelt.	Edinburgh, United Kingdom	50	12675	48	hour
Fire Pit	http://www.kickstarter.com/projects/564063926/fire-pit?ref=ending_soon	Daniel Bowhers	Fire Pit is a short film that follows three men on a journey to survive. Society has ended and animal instincts are taking over.	Brooklyn, NY	286	2435	49	hour
Cell/Phone - the online thriller	http://www.kickstarter.com/projects/466806407/cell-phone-the-online-thriller?ref=ending_soon	Jamie Laura	Cell/Phone - the online thriller, is a pilot webisode created in L.A by a team of indie filmmakers. "THE NEXT CALL COULD BE YOUR LAST"	Los Angeles, CA	174	2623	49	hour
King of the Dead : Jesus Christ Saves Mankind (from zombies)	http://www.kickstarter.com/projects/167623593/king-of-the-dead-jesus-christ-saves-mankind-from-z?ref=ending_soon	Mickey Lynn	The Greatest Zombie Story Ever Told? Jesus and the Apostles take on a mindless horde of zombies. Based on The Bible. Sort of.	Stateline, NV	12	976	49	hour
Rescue Midnight Bombers second album "Dirty Business"	http://www.kickstarter.com/projects/396122348/rescue-midnight-bombers-second-album-dirty-busines?ref=ending_soon	Jerry Business	Our second album is recorded, mixed, mastered and artwork is done. Now we just need to clone it, we can't do it alone we need help!	San Francisco, CA	102	3599	50	hour
Essex	http://www.kickstarter.com/projects/1419512631/essex?ref=ending_soon	Yazid	A young reporter is hired by a wealthy man to write a book about an alien that comes to earth in search of God.	Las Vegas, NV	27	325	50	hour
Keegan's CD Release!	http://www.kickstarter.com/projects/keeganfinally/keegans-cd-release?ref=ending_soon	Keegan	Keegan is finally ready to release our first full-length, but we need your help! By pre-ordering the record you can help us release it!	Suffolk, VA	122	735	50	hour
An Illustrated Guide to Growing Food on your Balcony	http://www.kickstarter.com/projects/1563114815/an-illustrated-guide-to-growing-food-on-your-balco?ref=ending_soon	lara	Eat off your balcony! This beautifully designed booklet is a practical guide for people who want to grow food plants in a container.	Toronto, Canada	132	5302	50	hour
PLAY THE TRUTH on Mount Everest	http://www.kickstarter.com/projects/1322459124/play-the-truth-on-mount-everest?ref=ending_soon	Clint McCune	Did you ever want to go to the highest mountain and sing with all your might so the whole world could hear....	Redmond, WA	98	9829	50	hour
Tim Halperin "The Last Song" Music Video	http://www.kickstarter.com/projects/timhalperin/tim-halperin-the-last-song-music-video?ref=ending_soon	Tim Halperin	Help me launch my next music video for 'The Last Song'! We have a killer concept in mind and a shoot date...I just need your help!	Fort Worth, TX	102	8210	50	hour
Voyage Home	http://www.kickstarter.com/projects/mwright/voyage-home?ref=ending_soon	Mark Wright	To save his son from the evils of the world, a man makes a horrific decision and must come to accept the hard truth of his actions.	Orlando, FL	51	1800	51	hour
Steve Lyman "Revolver" recording project.	http://www.kickstarter.com/projects/865741877/steve-lyman-revolver-recording-project?ref=ending_soon	steve lyman	Steve Lyman puts together his compositions with some of his most esteemed colleagues to make his debut record as a leader, "Revolver".	Salt Lake City, UT	111	5235	54	hour
Revenge of the Bimbot Zombie Killers	http://www.kickstarter.com/projects/1300991086/revenge-of-the-bimbot-zombie-killers?ref=ending_soon	Joe Camareno	"Bimbots" is a Sci-Fi spoof, complete with a musical number featuring dancing zombies; a true Austin Powers meets Young Frankenstein!	Los Angeles, CA	89	8985	54	hour
New Trails Exhibition - Historic Wissahickon Valley	http://www.kickstarter.com/projects/595237241/new-trails-exhibition-historic-wissahickon-valley?ref=ending_soon	Adaptation	Temporary site-specific art installations & interactions with the landscape of one the first urban parks in the United States.	Philadelphia, PA	121	2066	62	hour
APRIL RILEY: An Independent Feature Film	http://www.kickstarter.com/projects/hutchwilco/april-riley-an-independent-feature-film?ref=ending_soon	Zandrak Productions	An outcast writing prodigy and his best friend attempt to woo a local teenage redhead with poetry, paintings, and peaches	Washington, NJ	104	3435	63	hour
Let's Make A Short Film Together!	http://www.kickstarter.com/projects/1971399737/lets-make-a-short-film-together?ref=ending_soon	Matt McGregor	With your help, I would like to make a short script that I've written called, "The Popcorn Trick", into a short film.	Levittown, NY	102	510	64	hour
MORALITY (Independent feature film)	http://www.kickstarter.com/projects/1580971227/morality-independent-feature-film?ref=ending_soon	Denarlo Demensions	An independent feature film set in 1976 in the town of Wabash, IN, exploring the thin line between morals and justice.	Wabash, IN	59	5970	65	hour
Saving the Carlisle: A World Premiere Original British Farce	http://www.kickstarter.com/projects/774868676/saving-the-carlisle-a-world-premiere-original-brit?ref=ending_soon	Jeffrey Kucukistipanoglu	Saving the Carlisle is a new British farce by the Stage Company Ensemble of New England, following a hotel trying to avoid foreclosure.	Boston, MA	15	1270	66	hour
KantCon 2011 Pre-Pre-Registration	http://www.kickstarter.com/projects/terrestrialboy/kantcon-2011-pre-pre-registration?ref=ending_soon	Ethan Parker	KantCon is a gaming convention for tabletop hobby gamers in the Kansas City area, created by tabletop hobby gamers in Kansas City area.	Overland Park, KS	133	2676	67	hour
FORT90ZINE4ANSWER, the new game culture zine by Matt Hawkins	http://www.kickstarter.com/projects/1820779866/fort90zine4answer-the-new-game-culture-zine-by-mat?ref=ending_soon	FortNinety	The fort90zine is a game culture zine that has had 3 well received issues. I'm raising funds to cover the cost of issue #4.	New York, NY	214	1070	67	hour
Keyglove Wearable Input Device	http://www.kickstarter.com/projects/jrowberg/keyglove-wearable-input-device?ref=ending_soon	Jeff Rowberg	A glove-based input device that provides full mouse/keyboard control built for wearable/mobile computing and handicapped users.	Roanoke, VA	81	8113	68	hour
Catacombs	http://www.kickstarter.com/projects/2134041258/catacombs?ref=ending_soon	David Sabshon	Catacombs will explore the complex process of a struggling playwright as he attempts to cope with an unspeakable tragedy.	New York, NY	15	75.00	69	hour
Painting Skies with David Dunlop DVD	http://www.kickstarter.com/projects/308907317/painting-skies-with-david-dunlop-dvd?ref=ending_soon	Connie Simmons	Artist David Dunlop uses his unique method of integrating art, technique, history and philosophy to create a Painting Skies DVD.	Wilton, CT	41	10250	70	hour
BEHIND CLOSED DOORS | the short film	http://www.kickstarter.com/projects/472559166/behind-closed-doors-the-short-film?ref=ending_soon	Brigette Proctor	A short drama about family life. Everything will change when thirteen year old Olivia discovers her father's startling secret.	Washington, DC	169	1270	70	hour
Talisman Gallery Invitational to Art Teachers & Students	http://www.kickstarter.com/projects/1727287246/talisman-gallery-invitational-to-art-teachers-and?ref=ending_soon	Talisman Gallery	We are hosting a show to support the work of art teachers and their students. Your donation will help us fund the show.	Portland, OR	102	1746	70	hour
